Estudiante;Materia 1;Materia 2;Materia 3;Materia 4;Materia 5
Estudiante 273;1,0;1,0;2,0;0,0;3,0
Estudiante 274;0,0;3,0;3,0;4,0;3,0
Estudiante 275;4,0;2,0;2,0;1,0;0,0
Estudiante 276;3,0;1,0;5,0;1,0;5,0
Estudiante 277;2,0;4,0;0,0;5,0;2,0
Estudiante 278;0,0;3,0;4,0;5,0;1,0
Estudiante 279;4,0;2,0;5,0;5,0;1,0
Estudiante 280;5,0;5,0;1,0;2,0;1,0
Estudiante 281;3,0;0,0;0,0;2,0;5,0
Estudiante 282;5,0;5,0;5,0;1,0;4,0
Estudiante 283;1,0;4,0;4,0;3,0;4,0
Estudiante 284;0,0;0,0;0,0;3,0;3,0
Estudiante 285;4,0;2,0;5,0;2,0;4,0
Estudiante 286;1,0;0,0;5,0;4,0;0,0
Estudiante 287;1,0;3,0;5,0;1,0;3,0
Estudiante 288;0,0;3,0;1,0;2,0;3,0
Estudiante 289;0,0;5,0;2,0;3,0;0,0
Estudiante 290;0,0;1,0;5,0;4,0;3,0
Estudiante 291;3,0;5,0;5,0;5,0;1,0
Estudiante 292;1,0;5,0;3,0;5,0;0,0
Estudiante 293;1,0;4,0;0,0;4,0;2,0
Estudiante 294;3,0;2,0;3,0;0,0;0,0
Estudiante 295;3,0;4,0;5,0;0,0;0,0
Estudiante 296;2,0;1,0;3,0;0,0;3,0
Estudiante 297;3,0;5,0;2,0;2,0;4,0
Estudiante 298;3,0;5,0;3,0;4,0;0,0
Estudiante 299;4,0;0,0;2,0;2,0;5,0
Estudiante 300;5,0;3,0;5,0;1,0;5,0
Estudiante 301;5,0;1,0;1,0;2,0;0,0
Estudiante 302;4,0;1,0;2,0;1,0;0,0
Estudiante 303;5,0;5,0;1,0;2,0;5,0
Estudiante 304;1,0;1,0;3,0;3,0;2,0
Estudiante 305;1,0;1,0;4,0;5,0;3,0
Estudiante 306;0,0;1,0;3,0;4,0;2,0
Estudiante 307;2,0;4,0;5,0;0,0;1,0
Estudiante 308;0,0;4,0;1,0;5,0;1,0
Estudiante 309;3,0;5,0;5,0;3,0;4,0
Estudiante 310;3,0;5,0;0,0;0,0;4,0
Estudiante 311;1,0;3,0;0,0;5,0;1,0
Estudiante 312;0,0;1,0;0,0;1,0;0,0
Estudiante 313;5,0;3,0;4,0;4,0;4,0
Estudiante 314;3,0;4,0;5,0;1,0;5,0
Estudiante 315;1,0;5,0;5,0;2,0;5,0
Estudiante 316;3,0;4,0;2,0;2,0;1,0
Estudiante 317;4,0;2,0;3,0;1,0;3,0
Estudiante 318;3,0;1,0;5,0;1,0;5,0
Estudiante 319;0,0;3,0;0,0;0,0;2,0
Estudiante 320;3,0;0,0;4,0;1,0;4,0
Estudiante 321;3,0;1,0;1,0;0,0;2,0
Estudiante 322;2,0;1,0;1,0;3,0;1,0
Estudiante 323;5,0;5,0;2,0;2,0;0,0
Estudiante 324;0,0;4,0;2,0;2,0;5,0
Estudiante 325;1,0;3,0;0,0;4,0;1,0
Estudiante 326;5,0;2,0;4,0;5,0;4,0
Estudiante 327;5,0;0,0;5,0;0,0;0,0
Estudiante 328;3,0;2,0;0,0;5,0;4,0
Estudiante 329;1,0;0,0;4,0;0,0;0,0
Estudiante 330;0,0;3,0;2,0;0,0;4,0
Estudiante 331;3,0;1,0;0,0;1,0;5,0
Estudiante 332;1,0;1,0;1,0;0,0;3,0
Estudiante 333;5,0;4,0;0,0;3,0;1,0
Estudiante 334;4,0;2,0;3,0;0,0;2,0
Estudiante 335;4,0;2,0;4,0;4,0;1,0
Estudiante 336;3,0;1,0;0,0;5,0;2,0
Estudiante 337;5,0;0,0;4,0;5,0;5,0
Estudiante 338;1,0;3,0;2,0;3,0;5,0
Estudiante 339;0,0;4,0;4,0;0,0;3,0
Estudiante 340;0,0;3,0;2,0;3,0;5,0
Estudiante 341;2,0;1,0;5,0;4,0;1,0
Estudiante 342;4,0;1,0;2,0;5,0;0,0
Estudiante 343;5,0;0,0;4,0;5,0;4,0
Estudiante 344;4,0;1,0;3,0;5,0;5,0
Estudiante 345;5,0;5,0;4,0;5,0;4,0
Estudiante 346;1,0;3,0;1,0;1,0;0,0
Estudiante 347;3,0;5,0;2,0;2,0;0,0
Estudiante 348;3,0;4,0;2,0;1,0;4,0
Estudiante 349;2,0;2,0;2,0;5,0;1,0
Estudiante 350;3,0;1,0;2,0;3,0;0,0
Estudiante 351;4,0;1,0;0,0;4,0;4,0
Estudiante 352;3,0;5,0;3,0;5,0;1,0
Estudiante 353;1,0;1,0;2,0;4,0;4,0
Estudiante 354;3,0;4,0;1,0;1,0;0,0
Estudiante 355;5,0;0,0;1,0;2,0;4,0
Estudiante 356;3,0;1,0;3,0;1,0;3,0
Estudiante 357;2,0;5,0;2,0;3,0;4,0
Estudiante 358;2,0;1,0;3,0;2,0;2,0
Estudiante 359;2,0;1,0;5,0;0,0;0,0
Estudiante 360;0,0;5,0;5,0;2,0;3,0
Estudiante 361;5,0;3,0;4,0;0,0;4,0
Estudiante 362;3,0;5,0;2,0;4,0;1,0
Estudiante 363;3,0;3,0;2,0;5,0;3,0
Estudiante 364;4,0;2,0;1,0;1,0;1,0
Estudiante 365;0,0;5,0;4,0;3,0;1,0
Estudiante 366;4,0;1,0;3,0;3,0;5,0
Estudiante 367;5,0;4,0;1,0;4,0;4,0
Estudiante 368;5,0;1,0;4,0;4,0;0,0
Estudiante 369;1,0;0,0;2,0;1,0;4,0
Estudiante 370;4,0;1,0;4,0;5,0;5,0
Estudiante 371;3,0;0,0;4,0;4,0;2,0
Estudiante 372;4,0;0,0;2,0;1,0;3,0
Estudiante 373;5,0;5,0;1,0;2,0;5,0
Estudiante 374;3,0;5,0;3,0;3,0;5,0
Estudiante 375;5,0;1,0;3,0;5,0;5,0
Estudiante 376;1,0;1,0;2,0;0,0;2,0
Estudiante 377;0,0;0,0;5,0;4,0;0,0
Estudiante 378;0,0;0,0;2,0;2,0;3,0
Estudiante 379;5,0;2,0;3,0;5,0;2,0
Estudiante 380;2,0;2,0;2,0;4,0;4,0
Estudiante 381;5,0;2,0;5,0;3,0;2,0
Estudiante 382;5,0;3,0;0,0;2,0;4,0
Estudiante 383;4,0;2,0;1,0;5,0;2,0
Estudiante 384;3,0;4,0;1,0;0,0;4,0
Estudiante 385;5,0;1,0;1,0;1,0;1,0
Estudiante 386;4,0;2,0;3,0;4,0;2,0
Estudiante 387;1,0;2,0;1,0;1,0;5,0
Estudiante 388;1,0;3,0;0,0;4,0;0,0
Estudiante 389;1,0;1,0;2,0;1,0;4,0
Estudiante 390;1,0;1,0;0,0;0,0;1,0
Estudiante 391;5,0;3,0;3,0;4,0;1,0
Estudiante 392;4,0;0,0;1,0;5,0;2,0
Estudiante 393;5,0;4,0;2,0;3,0;0,0
Estudiante 394;0,0;4,0;5,0;2,0;3,0
Estudiante 395;1,0;1,0;5,0;3,0;1,0
Estudiante 396;1,0;0,0;0,0;1,0;1,0
Estudiante 397;0,0;1,0;1,0;3,0;1,0
Estudiante 398;3,0;3,0;2,0;5,0;2,0
Estudiante 399;4,0;2,0;4,0;4,0;4,0
Estudiante 400;1,0;4,0;3,0;3,0;3,0
Estudiante 401;1,0;3,0;0,0;4,0;1,0
Estudiante 402;3,0;3,0;0,0;4,0;3,0
Estudiante 403;1,0;1,0;0,0;4,0;1,0
Estudiante 404;3,0;2,0;4,0;2,0;1,0
Estudiante 405;3,0;4,0;5,0;0,0;3,0
Estudiante 406;4,0;1,0;1,0;5,0;5,0
Estudiante 407;5,0;0,0;2,0;1,0;2,0
Estudiante 408;2,0;5,0;3,0;0,0;5,0
Estudiante 409;1,0;2,0;5,0;2,0;4,0
Estudiante 410;0,0;2,0;5,0;2,0;3,0
Estudiante 411;0,0;4,0;3,0;5,0;0,0
Estudiante 412;5,0;2,0;2,0;5,0;0,0
Estudiante 413;2,0;0,0;0,0;4,0;3,0
Estudiante 414;0,0;1,0;1,0;0,0;1,0
Estudiante 415;0,0;0,0;0,0;5,0;5,0
Estudiante 416;2,0;2,0;5,0;0,0;0,0
Estudiante 417;5,0;1,0;2,0;1,0;0,0
Estudiante 418;2,0;1,0;4,0;5,0;2,0
Estudiante 419;0,0;2,0;0,0;1,0;3,0
Estudiante 420;0,0;1,0;2,0;0,0;0,0
Estudiante 421;5,0;0,0;4,0;3,0;1,0
Estudiante 422;2,0;2,0;5,0;5,0;4,0
Estudiante 423;4,0;0,0;3,0;1,0;3,0
Estudiante 424;3,0;5,0;0,0;1,0;5,0
Estudiante 425;4,0;0,0;5,0;3,0;5,0
Estudiante 426;5,0;4,0;4,0;5,0;4,0
Estudiante 427;4,0;5,0;1,0;3,0;2,0
Estudiante 428;1,0;4,0;3,0;2,0;2,0
Estudiante 429;4,0;2,0;0,0;5,0;5,0
Estudiante 430;0,0;0,0;1,0;5,0;3,0
Estudiante 431;1,0;2,0;1,0;1,0;5,0
Estudiante 432;3,0;5,0;4,0;2,0;0,0
Estudiante 433;4,0;2,0;0,0;2,0;4,0
Estudiante 434;3,0;3,0;2,0;0,0;1,0
Estudiante 435;4,0;3,0;4,0;4,0;5,0
Estudiante 436;1,0;1,0;4,0;1,0;1,0
Estudiante 437;5,0;5,0;0,0;1,0;4,0
Estudiante 438;5,0;5,0;2,0;0,0;3,0
Estudiante 439;4,0;2,0;3,0;5,0;4,0
Estudiante 440;4,0;3,0;2,0;1,0;0,0
Estudiante 441;0,0;4,0;2,0;4,0;5,0
Estudiante 442;0,0;0,0;0,0;0,0;5,0
Estudiante 443;5,0;5,0;3,0;5,0;1,0
Estudiante 444;3,0;2,0;1,0;5,0;1,0
Estudiante 445;3,0;1,0;0,0;1,0;4,0
Estudiante 446;5,0;2,0;0,0;5,0;0,0
Estudiante 447;5,0;5,0;2,0;3,0;2,0
Estudiante 448;5,0;0,0;4,0;0,0;3,0
Estudiante 449;4,0;1,0;4,0;0,0;2,0
Estudiante 450;1,0;4,0;3,0;4,0;5,0
Estudiante 451;3,0;5,0;3,0;2,0;5,0
Estudiante 452;5,0;5,0;3,0;1,0;2,0
Estudiante 453;4,0;2,0;0,0;2,0;0,0
Estudiante 454;4,0;4,0;1,0;3,0;3,0
Estudiante 455;3,0;4,0;0,0;5,0;3,0
Estudiante 456;1,0;0,0;3,0;3,0;5,0
Estudiante 457;0,0;2,0;5,0;3,0;4,0
Estudiante 458;0,0;1,0;4,0;4,0;0,0
Estudiante 459;4,0;3,0;2,0;1,0;3,0
Estudiante 460;4,0;4,0;1,0;1,0;1,0
Estudiante 461;0,0;1,0;2,0;1,0;0,0
Estudiante 462;3,0;5,0;0,0;3,0;1,0
Estudiante 463;0,0;5,0;1,0;1,0;4,0
Estudiante 464;5,0;4,0;1,0;1,0;2,0
Estudiante 465;4,0;2,0;0,0;4,0;5,0
Estudiante 466;3,0;2,0;2,0;2,0;3,0
Estudiante 467;0,0;1,0;0,0;4,0;2,0
Estudiante 468;3,0;5,0;3,0;4,0;1,0
Estudiante 469;1,0;5,0;0,0;5,0;4,0
Estudiante 470;5,0;5,0;4,0;5,0;5,0
Estudiante 471;1,0;4,0;3,0;1,0;3,0
Estudiante 472;3,0;0,0;2,0;2,0;2,0
Estudiante 473;5,0;5,0;4,0;3,0;2,0
Estudiante 474;3,0;4,0;4,0;2,0;1,0
Estudiante 475;2,0;1,0;4,0;1,0;3,0
Estudiante 476;3,0;3,0;2,0;0,0;1,0
Estudiante 477;5,0;3,0;2,0;4,0;2,0
Estudiante 478;3,0;1,0;3,0;3,0;3,0
Estudiante 479;1,0;3,0;2,0;1,0;5,0
Estudiante 480;5,0;4,0;5,0;4,0;4,0
Estudiante 481;1,0;2,0;2,0;3,0;2,0
Estudiante 482;1,0;1,0;2,0;0,0;5,0
Estudiante 483;5,0;3,0;1,0;4,0;0,0
Estudiante 484;1,0;5,0;5,0;1,0;1,0
Estudiante 485;2,0;2,0;2,0;4,0;0,0
Estudiante 486;1,0;4,0;1,0;3,0;0,0
Estudiante 487;4,0;5,0;0,0;4,0;5,0
Estudiante 488;1,0;5,0;2,0;5,0;2,0
Estudiante 489;0,0;2,0;0,0;3,0;3,0
Estudiante 490;4,0;5,0;5,0;5,0;1,0
Estudiante 491;2,0;5,0;1,0;5,0;0,0
Estudiante 492;5,0;4,0;1,0;0,0;4,0
Estudiante 493;3,0;0,0;4,0;5,0;1,0
Estudiante 494;1,0;3,0;2,0;4,0;3,0
Estudiante 495;5,0;5,0;3,0;2,0;1,0
Estudiante 496;0,0;5,0;2,0;2,0;0,0
Estudiante 497;4,0;5,0;2,0;3,0;0,0
