Estudiante;Materia 1;Materia 2;Materia 3;Materia 4;Materia 5
Estudiante 127;0,0;0,0;0,0;5,0;4,0
Estudiante 128;2,0;5,0;4,0;1,0;5,0
Estudiante 129;0,0;3,0;3,0;5,0;4,0
Estudiante 130;3,0;0,0;5,0;4,0;0,0
Estudiante 131;1,0;5,0;1,0;1,0;0,0
Estudiante 132;0,0;2,0;5,0;1,0;4,0
Estudiante 133;3,0;4,0;1,0;5,0;0,0
Estudiante 134;4,0;5,0;4,0;4,0;3,0
Estudiante 135;0,0;2,0;1,0;5,0;4,0
Estudiante 136;3,0;4,0;4,0;4,0;1,0
Estudiante 137;0,0;0,0;5,0;3,0;3,0
Estudiante 138;3,0;1,0;4,0;5,0;4,0
Estudiante 139;0,0;0,0;2,0;3,0;3,0
Estudiante 140;2,0;1,0;3,0;3,0;5,0
Estudiante 141;1,0;1,0;1,0;0,0;0,0
Estudiante 142;3,0;4,0;5,0;5,0;5,0
Estudiante 143;4,0;0,0;4,0;1,0;0,0
Estudiante 144;2,0;5,0;1,0;5,0;5,0
Estudiante 145;1,0;4,0;0,0;1,0;3,0
Estudiante 146;4,0;1,0;0,0;3,0;5,0
Estudiante 147;1,0;2,0;2,0;2,0;3,0
Estudiante 148;3,0;2,0;1,0;1,0;0,0
Estudiante 149;3,0;5,0;3,0;0,0;0,0
Estudiante 150;2,0;0,0;0,0;2,0;0,0
Estudiante 151;2,0;3,0;1,0;0,0;3,0
Estudiante 152;1,0;0,0;5,0;3,0;3,0
Estudiante 153;1,0;2,0;4,0;0,0;5,0
Estudiante 154;0,0;1,0;5,0;4,0;5,0
Estudiante 155;2,0;2,0;0,0;5,0;5,0
Estudiante 156;5,0;1,0;2,0;2,0;4,0
Estudiante 157;5,0;0,0;4,0;4,0;4,0
Estudiante 158;5,0;0,0;3,0;4,0;2,0
Estudiante 159;3,0;0,0;1,0;1,0;4,0
Estudiante 160;3,0;4,0;0,0;3,0;3,0
Estudiante 161;4,0;2,0;1,0;2,0;1,0
Estudiante 162;2,0;3,0;0,0;4,0;0,0
Estudiante 163;0,0;0,0;3,0;0,0;5,0
Estudiante 164;1,0;2,0;4,0;4,0;0,0
Estudiante 165;0,0;5,0;3,0;3,0;4,0
Estudiante 166;0,0;0,0;0,0;1,0;2,0
Estudiante 167;4,0;0,0;3,0;3,0;0,0
Estudiante 168;5,0;4,0;2,0;2,0;5,0
Estudiante 169;1,0;1,0;4,0;0,0;2,0
Estudiante 170;3,0;4,0;3,0;0,0;5,0
Estudiante 171;2,0;0,0;3,0;5,0;0,0
Estudiante 172;3,0;5,0;0,0;0,0;5,0
Estudiante 173;0,0;4,0;4,0;2,0;4,0
Estudiante 174;0,0;5,0;5,0;5,0;2,0
Estudiante 175;4,0;0,0;2,0;4,0;2,0
Estudiante 176;5,0;1,0;2,0;0,0;3,0
Estudiante 177;2,0;5,0;1,0;4,0;4,0
Estudiante 178;4,0;4,0;0,0;3,0;2,0
Estudiante 179;0,0;0,0;3,0;0,0;1,0
Estudiante 180;0,0;0,0;5,0;2,0;3,0
Estudiante 181;1,0;1,0;2,0;0,0;5,0
Estudiante 182;0,0;4,0;2,0;0,0;5,0
Estudiante 183;0,0;5,0;1,0;5,0;5,0
Estudiante 184;4,0;5,0;3,0;3,0;4,0
Estudiante 185;4,0;0,0;3,0;4,0;4,0
Estudiante 186;4,0;5,0;2,0;1,0;2,0
Estudiante 187;2,0;2,0;3,0;0,0;1,0
Estudiante 188;5,0;3,0;1,0;0,0;5,0
Estudiante 189;3,0;5,0;1,0;5,0;1,0
Estudiante 190;5,0;4,0;3,0;0,0;2,0
Estudiante 191;4,0;0,0;1,0;1,0;0,0
Estudiante 192;1,0;3,0;3,0;0,0;4,0
Estudiante 193;5,0;2,0;1,0;3,0;3,0
Estudiante 194;1,0;3,0;5,0;0,0;0,0
Estudiante 195;1,0;5,0;3,0;1,0;4,0
Estudiante 196;2,0;4,0;3,0;1,0;1,0
Estudiante 197;4,0;0,0;5,0;5,0;2,0
Estudiante 198;4,0;4,0;5,0;5,0;5,0
Estudiante 199;1,0;4,0;0,0;4,0;3,0
Estudiante 200;0,0;2,0;5,0;1,0;3,0
Estudiante 201;4,0;3,0;4,0;1,0;4,0
Estudiante 202;5,0;0,0;3,0;0,0;5,0
Estudiante 203;0,0;5,0;5,0;4,0;1,0
Estudiante 204;3,0;3,0;5,0;0,0;3,0
Estudiante 205;4,0;2,0;4,0;3,0;1,0
Estudiante 206;3,0;0,0;1,0;0,0;4,0
Estudiante 207;0,0;0,0;1,0;1,0;3,0
Estudiante 208;1,0;4,0;1,0;1,0;4,0
Estudiante 209;3,0;4,0;2,0;1,0;2,0
Estudiante 210;0,0;3,0;3,0;5,0;1,0
Estudiante 211;2,0;2,0;2,0;3,0;2,0
Estudiante 212;1,0;0,0;3,0;1,0;2,0
Estudiante 213;1,0;3,0;5,0;2,0;0,0
Estudiante 214;3,0;3,0;3,0;1,0;2,0
Estudiante 215;2,0;0,0;1,0;0,0;0,0
Estudiante 216;0,0;4,0;5,0;3,0;2,0
Estudiante 217;4,0;2,0;3,0;4,0;1,0
Estudiante 218;5,0;0,0;4,0;4,0;1,0
Estudiante 219;1,0;1,0;4,0;5,0;4,0
Estudiante 220;5,0;1,0;1,0;0,0;0,0
Estudiante 221;5,0;5,0;3,0;5,0;4,0
Estudiante 222;2,0;4,0;2,0;4,0;0,0
Estudiante 223;5,0;2,0;2,0;4,0;1,0
Estudiante 224;5,0;1,0;5,0;3,0;4,0
Estudiante 225;3,0;3,0;2,0;4,0;5,0
Estudiante 226;2,0;0,0;3,0;0,0;3,0
Estudiante 227;0,0;5,0;0,0;4,0;2,0
Estudiante 228;5,0;1,0;1,0;2,0;5,0
Estudiante 229;5,0;5,0;5,0;0,0;2,0
Estudiante 230;5,0;1,0;1,0;0,0;0,0
Estudiante 231;1,0;2,0;3,0;2,0;2,0
Estudiante 232;5,0;0,0;2,0;1,0;1,0
Estudiante 233;2,0;3,0;5,0;5,0;0,0
Estudiante 234;3,0;4,0;1,0;2,0;2,0
Estudiante 235;0,0;5,0;2,0;5,0;5,0
Estudiante 236;3,0;1,0;1,0;2,0;2,0
Estudiante 237;0,0;4,0;1,0;3,0;3,0
Estudiante 238;3,0;3,0;2,0;2,0;3,0
Estudiante 239;3,0;3,0;0,0;0,0;4,0
Estudiante 240;1,0;4,0;4,0;0,0;1,0
Estudiante 241;4,0;5,0;0,0;4,0;3,0
Estudiante 242;1,0;2,0;4,0;2,0;4,0
Estudiante 243;2,0;3,0;2,0;1,0;5,0
Estudiante 244;1,0;4,0;3,0;1,0;4,0
Estudiante 245;1,0;0,0;5,0;0,0;0,0
Estudiante 246;5,0;1,0;0,0;0,0;2,0
Estudiante 247;3,0;1,0;1,0;1,0;5,0
Estudiante 248;4,0;0,0;3,0;5,0;4,0
Estudiante 249;4,0;1,0;2,0;4,0;0,0
Estudiante 250;5,0;5,0;2,0;5,0;0,0
Estudiante 251;1,0;3,0;5,0;2,0;5,0
Estudiante 252;3,0;5,0;1,0;3,0;5,0
Estudiante 253;3,0;4,0;1,0;3,0;5,0
Estudiante 254;0,0;2,0;1,0;5,0;5,0
Estudiante 255;3,0;1,0;2,0;5,0;5,0
Estudiante 256;5,0;5,0;1,0;0,0;4,0
Estudiante 257;1,0;3,0;0,0;1,0;1,0
Estudiante 258;3,0;5,0;3,0;2,0;5,0
Estudiante 259;2,0;0,0;3,0;1,0;2,0
Estudiante 260;5,0;2,0;1,0;0,0;2,0
Estudiante 261;4,0;4,0;4,0;3,0;5,0
Estudiante 262;2,0;0,0;2,0;5,0;4,0
Estudiante 263;2,0;0,0;2,0;4,0;3,0
Estudiante 264;3,0;1,0;0,0;2,0;1,0
Estudiante 265;0,0;0,0;4,0;1,0;3,0
Estudiante 266;4,0;3,0;2,0;4,0;1,0
Estudiante 267;4,0;3,0;5,0;1,0;4,0
Estudiante 268;1,0;3,0;5,0;3,0;1,0
Estudiante 269;0,0;3,0;3,0;0,0;2,0
Estudiante 270;0,0;0,0;2,0;1,0;2,0
Estudiante 271;3,0;5,0;5,0;2,0;4,0
Estudiante 272;0,0;5,0;4,0;4,0;4,0
Estudiante 273;2,0;4,0;1,0;4,0;3,0
Estudiante 274;1,0;0,0;2,0;1,0;4,0
Estudiante 275;5,0;5,0;5,0;2,0;3,0
Estudiante 276;2,0;4,0;1,0;3,0;2,0
Estudiante 277;3,0;3,0;3,0;3,0;5,0
Estudiante 278;5,0;4,0;3,0;0,0;0,0
Estudiante 279;0,0;4,0;3,0;4,0;3,0
Estudiante 280;0,0;3,0;1,0;3,0;0,0
Estudiante 281;1,0;3,0;1,0;5,0;3,0
Estudiante 282;2,0;2,0;0,0;3,0;0,0
Estudiante 283;3,0;1,0;3,0;0,0;2,0
Estudiante 284;3,0;0,0;0,0;1,0;1,0
Estudiante 285;3,0;0,0;3,0;4,0;0,0
Estudiante 286;5,0;1,0;3,0;0,0;3,0
Estudiante 287;3,0;0,0;2,0;1,0;3,0
Estudiante 288;3,0;2,0;3,0;5,0;1,0
Estudiante 289;0,0;0,0;1,0;3,0;3,0
Estudiante 290;1,0;1,0;4,0;0,0;4,0
Estudiante 291;2,0;3,0;0,0;1,0;4,0
Estudiante 292;0,0;3,0;2,0;4,0;3,0
Estudiante 293;0,0;1,0;5,0;0,0;5,0
Estudiante 294;3,0;5,0;1,0;5,0;2,0
Estudiante 295;5,0;4,0;5,0;5,0;0,0
Estudiante 296;5,0;2,0;1,0;0,0;4,0
Estudiante 297;2,0;2,0;3,0;3,0;4,0
Estudiante 298;3,0;4,0;3,0;3,0;5,0
Estudiante 299;3,0;2,0;4,0;4,0;0,0
Estudiante 300;2,0;3,0;5,0;3,0;4,0
Estudiante 301;0,0;0,0;4,0;1,0;2,0
Estudiante 302;1,0;5,0;3,0;5,0;4,0
Estudiante 303;4,0;2,0;0,0;0,0;0,0
Estudiante 304;0,0;4,0;1,0;2,0;0,0
Estudiante 305;4,0;4,0;3,0;2,0;4,0
Estudiante 306;4,0;5,0;4,0;1,0;4,0
Estudiante 307;0,0;1,0;3,0;5,0;0,0
Estudiante 308;4,0;1,0;1,0;5,0;4,0
Estudiante 309;4,0;4,0;0,0;4,0;2,0
Estudiante 310;1,0;5,0;2,0;0,0;5,0
Estudiante 311;1,0;3,0;1,0;4,0;4,0
Estudiante 312;5,0;2,0;5,0;4,0;4,0
Estudiante 313;2,0;5,0;4,0;3,0;0,0
Estudiante 314;3,0;3,0;2,0;1,0;4,0
Estudiante 315;3,0;2,0;3,0;1,0;1,0
Estudiante 316;2,0;4,0;5,0;1,0;5,0
Estudiante 317;5,0;3,0;5,0;0,0;4,0
Estudiante 318;0,0;0,0;2,0;2,0;3,0
Estudiante 319;3,0;1,0;1,0;0,0;4,0
Estudiante 320;0,0;0,0;2,0;0,0;2,0
Estudiante 321;0,0;1,0;4,0;4,0;3,0
Estudiante 322;0,0;2,0;4,0;0,0;1,0
Estudiante 323;5,0;5,0;0,0;0,0;3,0
Estudiante 324;2,0;2,0;0,0;4,0;1,0
Estudiante 325;2,0;2,0;4,0;1,0;5,0
Estudiante 326;5,0;5,0;5,0;1,0;3,0
Estudiante 327;5,0;1,0;4,0;2,0;1,0
Estudiante 328;5,0;4,0;1,0;2,0;0,0
Estudiante 329;0,0;1,0;5,0;4,0;4,0
Estudiante 330;2,0;3,0;5,0;1,0;0,0
Estudiante 331;4,0;5,0;5,0;3,0;3,0
Estudiante 332;4,0;0,0;5,0;2,0;2,0
Estudiante 333;4,0;3,0;3,0;2,0;3,0
Estudiante 334;3,0;3,0;1,0;0,0;4,0
Estudiante 335;0,0;2,0;4,0;3,0;3,0
Estudiante 336;0,0;5,0;1,0;4,0;5,0
Estudiante 337;1,0;5,0;4,0;5,0;4,0
Estudiante 338;3,0;0,0;5,0;1,0;3,0
Estudiante 339;3,0;0,0;0,0;4,0;0,0
Estudiante 340;0,0;1,0;2,0;4,0;5,0
Estudiante 341;1,0;0,0;1,0;1,0;5,0
Estudiante 342;0,0;5,0;5,0;5,0;0,0
Estudiante 343;0,0;5,0;1,0;4,0;5,0
Estudiante 344;1,0;2,0;0,0;4,0;5,0
Estudiante 345;2,0;2,0;5,0;3,0;2,0
Estudiante 346;1,0;0,0;5,0;0,0;4,0
Estudiante 347;2,0;1,0;2,0;5,0;2,0
Estudiante 348;3,0;0,0;3,0;3,0;5,0
Estudiante 349;5,0;4,0;0,0;2,0;1,0
Estudiante 350;1,0;1,0;1,0;2,0;0,0
Estudiante 351;1,0;2,0;1,0;0,0;0,0
Estudiante 352;0,0;2,0;5,0;2,0;2,0
Estudiante 353;5,0;1,0;2,0;3,0;1,0
Estudiante 354;0,0;4,0;0,0;3,0;5,0
Estudiante 355;4,0;2,0;5,0;1,0;4,0
Estudiante 356;5,0;1,0;1,0;1,0;0,0
Estudiante 357;4,0;5,0;4,0;5,0;4,0
Estudiante 358;5,0;0,0;3,0;2,0;1,0
Estudiante 359;1,0;2,0;1,0;2,0;5,0
Estudiante 360;3,0;0,0;2,0;2,0;3,0
Estudiante 361;3,0;2,0;0,0;2,0;2,0
Estudiante 362;1,0;3,0;4,0;1,0;1,0
Estudiante 363;5,0;0,0;4,0;2,0;5,0
Estudiante 364;3,0;0,0;5,0;1,0;5,0
Estudiante 365;1,0;0,0;2,0;2,0;3,0
Estudiante 366;4,0;4,0;5,0;3,0;2,0
Estudiante 367;1,0;1,0;5,0;4,0;5,0
Estudiante 368;5,0;2,0;3,0;5,0;0,0
Estudiante 369;1,0;4,0;5,0;1,0;0,0
Estudiante 370;2,0;5,0;2,0;2,0;4,0
Estudiante 371;0,0;5,0;0,0;3,0;1,0
Estudiante 372;0,0;5,0;1,0;1,0;1,0
Estudiante 373;4,0;2,0;5,0;1,0;1,0
Estudiante 374;3,0;0,0;5,0;5,0;2,0
Estudiante 375;4,0;0,0;1,0;0,0;0,0
Estudiante 376;2,0;5,0;2,0;2,0;0,0
Estudiante 377;4,0;4,0;3,0;3,0;5,0
Estudiante 378;3,0;2,0;5,0;1,0;2,0
Estudiante 379;0,0;5,0;3,0;0,0;5,0
Estudiante 380;4,0;5,0;2,0;3,0;3,0
Estudiante 381;1,0;5,0;4,0;4,0;1,0
Estudiante 382;1,0;1,0;5,0;4,0;1,0
Estudiante 383;2,0;4,0;5,0;2,0;5,0
Estudiante 384;0,0;2,0;1,0;0,0;5,0
Estudiante 385;5,0;3,0;1,0;3,0;5,0
Estudiante 386;5,0;1,0;1,0;0,0;4,0
Estudiante 387;1,0;0,0;2,0;5,0;2,0
Estudiante 388;1,0;2,0;0,0;4,0;4,0
Estudiante 389;1,0;4,0;4,0;5,0;4,0
Estudiante 390;5,0;3,0;1,0;2,0;4,0
Estudiante 391;1,0;1,0;5,0;1,0;1,0
Estudiante 392;2,0;3,0;3,0;3,0;4,0
Estudiante 393;4,0;0,0;1,0;0,0;1,0
Estudiante 394;2,0;3,0;5,0;3,0;4,0
Estudiante 395;5,0;1,0;4,0;1,0;3,0
Estudiante 396;4,0;4,0;3,0;4,0;2,0
Estudiante 397;2,0;1,0;5,0;5,0;0,0
Estudiante 398;4,0;0,0;0,0;3,0;5,0
Estudiante 399;5,0;3,0;1,0;5,0;3,0
Estudiante 400;0,0;0,0;3,0;0,0;0,0
Estudiante 401;1,0;2,0;1,0;2,0;3,0
Estudiante 402;5,0;0,0;2,0;0,0;1,0
Estudiante 403;1,0;1,0;5,0;0,0;4,0
Estudiante 404;3,0;3,0;2,0;3,0;4,0
Estudiante 405;1,0;1,0;4,0;1,0;0,0
Estudiante 406;1,0;1,0;3,0;5,0;0,0
Estudiante 407;0,0;2,0;5,0;2,0;3,0
Estudiante 408;2,0;0,0;5,0;3,0;3,0
Estudiante 409;0,0;4,0;0,0;5,0;3,0
Estudiante 410;3,0;5,0;0,0;3,0;5,0
Estudiante 411;4,0;2,0;5,0;4,0;4,0
Estudiante 412;3,0;5,0;1,0;0,0;2,0
Estudiante 413;3,0;5,0;4,0;4,0;5,0
Estudiante 414;2,0;0,0;5,0;5,0;1,0
Estudiante 415;3,0;3,0;0,0;3,0;3,0
Estudiante 416;3,0;3,0;1,0;1,0;1,0
Estudiante 417;1,0;4,0;0,0;1,0;1,0
Estudiante 418;2,0;4,0;1,0;3,0;5,0
Estudiante 419;2,0;1,0;3,0;1,0;1,0
Estudiante 420;4,0;0,0;5,0;3,0;1,0
Estudiante 421;2,0;0,0;1,0;5,0;4,0
Estudiante 422;0,0;3,0;4,0;4,0;3,0
Estudiante 423;1,0;4,0;0,0;1,0;5,0
Estudiante 424;4,0;2,0;4,0;3,0;1,0
Estudiante 425;1,0;2,0;2,0;5,0;4,0
Estudiante 426;5,0;4,0;0,0;5,0;3,0
Estudiante 427;0,0;3,0;4,0;5,0;5,0
Estudiante 428;0,0;3,0;4,0;5,0;5,0
Estudiante 429;2,0;3,0;4,0;3,0;2,0
Estudiante 430;5,0;3,0;1,0;3,0;4,0
Estudiante 431;5,0;5,0;4,0;0,0;5,0
Estudiante 432;5,0;4,0;3,0;3,0;4,0
Estudiante 433;4,0;5,0;3,0;3,0;1,0
Estudiante 434;4,0;4,0;0,0;5,0;4,0
Estudiante 435;1,0;2,0;2,0;3,0;3,0
Estudiante 436;4,0;2,0;1,0;0,0;2,0
Estudiante 437;2,0;1,0;0,0;4,0;3,0
Estudiante 438;1,0;0,0;3,0;5,0;1,0
Estudiante 439;1,0;0,0;4,0;1,0;5,0
Estudiante 440;5,0;0,0;5,0;2,0;2,0
Estudiante 441;0,0;2,0;1,0;4,0;0,0
Estudiante 442;5,0;4,0;5,0;0,0;2,0
Estudiante 443;3,0;2,0;0,0;4,0;4,0
Estudiante 444;5,0;5,0;4,0;2,0;1,0
Estudiante 445;4,0;4,0;1,0;0,0;0,0
Estudiante 446;5,0;4,0;1,0;3,0;3,0
Estudiante 447;1,0;2,0;1,0;4,0;2,0
Estudiante 448;1,0;1,0;2,0;5,0;3,0
Estudiante 449;4,0;1,0;4,0;4,0;4,0
Estudiante 450;2,0;2,0;1,0;1,0;2,0
Estudiante 451;0,0;0,0;4,0;4,0;4,0
Estudiante 452;1,0;1,0;2,0;4,0;5,0
Estudiante 453;1,0;0,0;4,0;0,0;2,0
Estudiante 454;3,0;3,0;0,0;2,0;1,0
Estudiante 455;2,0;0,0;0,0;0,0;4,0
Estudiante 456;1,0;5,0;2,0;0,0;1,0
Estudiante 457;1,0;4,0;1,0;2,0;5,0
Estudiante 458;1,0;1,0;3,0;5,0;3,0
Estudiante 459;4,0;4,0;0,0;2,0;2,0
Estudiante 460;0,0;5,0;3,0;3,0;0,0
Estudiante 461;5,0;2,0;0,0;4,0;0,0
Estudiante 462;2,0;3,0;2,0;1,0;3,0
Estudiante 463;0,0;0,0;5,0;2,0;1,0
Estudiante 464;1,0;1,0;1,0;4,0;5,0
Estudiante 465;4,0;5,0;2,0;5,0;4,0
Estudiante 466;0,0;5,0;4,0;2,0;1,0
Estudiante 467;5,0;3,0;0,0;2,0;4,0
Estudiante 468;0,0;2,0;4,0;3,0;3,0
Estudiante 469;4,0;3,0;4,0;5,0;4,0
Estudiante 470;4,0;5,0;1,0;2,0;0,0
Estudiante 471;5,0;5,0;0,0;4,0;5,0
Estudiante 472;5,0;2,0;1,0;4,0;3,0
Estudiante 473;2,0;3,0;4,0;3,0;2,0
Estudiante 474;5,0;2,0;2,0;2,0;1,0
Estudiante 475;4,0;4,0;3,0;4,0;1,0
Estudiante 476;1,0;2,0;4,0;1,0;0,0
Estudiante 477;2,0;0,0;3,0;5,0;0,0
Estudiante 478;0,0;2,0;4,0;5,0;4,0
Estudiante 479;5,0;3,0;5,0;4,0;5,0
Estudiante 480;3,0;4,0;3,0;0,0;1,0
Estudiante 481;4,0;4,0;3,0;4,0;4,0
Estudiante 482;5,0;0,0;2,0;2,0;3,0
Estudiante 483;5,0;4,0;3,0;2,0;3,0
Estudiante 484;5,0;4,0;4,0;4,0;1,0
Estudiante 485;3,0;0,0;5,0;1,0;4,0
Estudiante 486;3,0;0,0;0,0;0,0;3,0
Estudiante 487;1,0;5,0;0,0;0,0;0,0
Estudiante 488;3,0;4,0;4,0;4,0;3,0
Estudiante 489;0,0;1,0;4,0;2,0;3,0
Estudiante 490;0,0;3,0;2,0;3,0;5,0
Estudiante 491;3,0;5,0;4,0;4,0;1,0
Estudiante 492;5,0;4,0;1,0;4,0;3,0
Estudiante 493;3,0;1,0;1,0;5,0;4,0
Estudiante 494;5,0;3,0;1,0;1,0;5,0
Estudiante 495;3,0;3,0;3,0;4,0;3,0
Estudiante 496;2,0;2,0;2,0;5,0;4,0
Estudiante 497;3,0;5,0;3,0;1,0;1,0
